2026-01-27 15:36:03,988 | INFO | gen20 | cards_info.csv shape=30 x 7
2026-01-27 15:36:03,993 | INFO | gen20 | cards_benefits_fixed.csv shape=253 x 10
2026-01-27 15:36:03,996 | INFO | gen20 | youtube_20_consumption.csv.csv shape=104 x 7
2026-01-27 15:36:03,998 | INFO | gen20 | youtube_comments_700.csv shape=700 x 6
2026-01-27 15:36:04,000 | INFO | gen20 | youtube_dining_search_100.csv shape=100 x 8
2026-01-27 15:36:04,001 | INFO | gen20 | naverlab_dining_trend_comparison.csv shape=12 x 6
2026-01-27 15:36:04,027 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/cards_merged.csv
2026-01-27 15:36:04,031 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/spending_pattern_20s.csv
2026-01-27 15:36:04,036 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:36:04,047 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_tfidf_keywords.csv
2026-01-27 15:36:04,053 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/yt_monthly_trend.csv
2026-01-27 15:36:04,057 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/sentiment_analysis.csv
2026-01-27 15:36:04,057 | INFO | gen20 | sentiment_score mean=0.0162, std=0.1185
2026-01-27 15:36:04,058 | INFO | gen20 | 피어슨 상관계수: r=0.8787, p-value=0.0002
2026-01-27 15:36:04,059 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/trend_correlations.csv
2026-01-27 15:36:04,069 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/dining_benefit_scores.csv
2026-01-27 15:36:04,074 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/weighted_match_scores.csv
2026-01-27 15:36:04,082 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/top_cards.csv
2026-01-27 15:36:04,086 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/data/processed/scenario_recommendations.csv
2026-01-27 15:36:04,088 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/plcc_proposal.md
2026-01-27 15:36:04,089 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/final_report.md
2026-01-27 15:36:04,091 | INFO | gen20 | 저장 완료: /Users/t2024-m0246/Documents/GitHub/project_sojeong/gen20-credit-card-recommendation/outputs/reports/dashboard.html
2026-01-27 15:36:04,091 | INFO | gen20 | 파이프라인 완료. outputs/reports 확인하세요.
