카드이용내역,,,,,,,,,,,,,,
■ 카드이용내역 요약,,,,,,,,,,,,,,
조회기간,사용처구분,정상∙취소 구분,이용구분,건수합계,금액합계(원),,,,,,,,,
2024.12.03~2025.12.02,전체,전체,전체,933건,"16,617,923",,,,,,,,,
■ 국내이용내역 상세,,,,,,,,,,,,,,
이용일자,이용시간,이용카드,이용가맹점,업종,이용금액,이용구분,할부개월,승인번호,취소여부,취소일자,취소금액,포인트사용,온누리상품권사용금액,매입여부
2025.10.14,10:17,본인 우리은행 포인트플러스 GRANDE(9*3*),모닝글로리 동양미래대점,문구,"2,800",일시불,-,69145704,N,,0,0,0,Y
2025.10.13,22:02,본인 우리은행 포인트플러스 GRANDE(9*3*),지에스(GS)25 고척센츄리점,편의점,"9,500",일시불,-,30701703,N,,0,0,0,Y
2025.10.13,22:00,본인 우리은행 포인트플러스 GRANDE(9*3*),오늘제빵소,제과점/아이스크림점,"7,000",일시불,-,55610702,N,,0,0,0,Y
2025.10.13,16:51,본인 우리은행 포인트플러스 GRANDE(9*3*),프랭크버거 구로고척점,패스트푸드점,"8,800",일시불,-,47683701,N,,0,0,0,Y
2025.10.13,16:48,본인 우리은행 포인트플러스 GRANDE(9*3*),스마트백평치과의원,치과,"50,000",일시불,-,31336700,N,,0,0,0,Y
2025.10.13,15:10,본인 우리은행 포인트플러스 GRANDE(9*3*),브루클린커피,커피전문점,"4,800",일시불,-,55170699,N,,0,0,0,Y
2025.10.13,14:12,본인 우리은행 포인트플러스 GRANDE(9*3*),SK텔레콤(자동납부),통신비(시청료),"73,650",일시불,-,24943698,N,,0,0,0,Y
2025.10.13,10:55,본인 우리은행 포인트플러스 GRANDE(9*3*),CJ 올리브영_국내_CJ올리브영주식회,PG(온라인),"70,900",할부,5 개월,35640697,N,,0,0,0,Y
2025.10.11,22:41,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"1,000",일시불,-,29525696,N,,0,0,0,Y
2025.10.11,22:40,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"1,000",일시불,-,39262695,N,,0,0,0,Y
2025.10.11,22:38,본인 우리은행 포인트플러스 GRANDE(9*3*),(주)하나음향 보가코인노래연습장,노래방,"3,300",일시불,-,53995694,N,,0,0,0,Y
2025.10.11,21:30,본인 우리은행 포인트플러스 GRANDE(9*3*),용오뎅 고척점,한식(한정식),"53,200",일시불,-,65981693,N,,0,0,0,Y
2025.10.11,8:24,본인 우리은행 포인트플러스 GRANDE(9*3*),경기마트 맘스점,슈퍼마켓,"10,950",일시불,-,69699692,N,,0,0,0,Y
2025.10.09,20:56,본인 우리은행 포인트플러스 GRANDE(9*3*),경기마트 맘스점,슈퍼마켓,"14,190",일시불,-,27683691,N,,0,0,0,Y
2025.10.08,22:47,본인 우리은행 포인트플러스 GRANDE(9*3*),한마음슈퍼,슈퍼마켓,700,일시불,-,32335690,N,,0,0,0,Y
2025.10.08,21:35,본인 우리은행 포인트플러스 GRANDE(9*3*),에이치디씨현대산업개발(주)고척아이파크쇼핑센터,백화점,"6,100",일시불,-,29117689,N,,0,0,0,Y
